Number	Toaripi	Orokolo	gloss
1	uti	uki	bone
2	ete	eke	vagina
3	tete	keke	fish scales
4	tao	kao	tooth
5	toare	koare	senior
6	tola	kora	tree
7	tolotolo	korokoro	leaves
8	tapare	kapare	grease
9	torea	korea	theft
10	turuturu	kurukuru	thundering
11	aite	aire	after
12	kite	kile	mat
13	lauta	laura	flame tree
14	ita	ila	pig
15	puta	pura	cloth
16	uta	ura	hole
17	fi	hi	cry
18	firu	hiru	portion
19	fe	he	penis
20	fere	here	betel nut
21	fapai	hapa	open
22	fave	have	stone
23	forerai	horera	appear
24	furi	huri	pus
25	afutae	ahurae	ashes
26	sisia	hihia	sour
27	siri	hiri	mildew
28	ase	ahe	sugarcane
29	seseroro	heheroro	thin
30	sare	hare	sun, day
31	sarea	harea	sorcery
32	soa	hoa	time
33	sua	hua	pigeon
34	susu	huhu	plank
35	farisa	harita	arrow
36	marisa	marita	girl
37	taisa	kaita	paddle
38	saesa	haita	dish
41	kiva	kiva	care
42	koko	koko	narrow
43	ekaka	ekaka	fish